Rank,Marka,Ürün Adı,Fiyat,Link
1,-,Mantar 300 g,"64,90 TL",https://www.carrefoursa.com/mantar-300-g-p-30033731
2,-,Elma Starking Gurme,"129,90 TL",https://www.carrefoursa.com/elma-starking-gurme-p-30113647
3,-,Sleepy Sensitive Islak Mendil 90'Lı,"36,95 TL",https://www.carrefoursa.com/sleepy-sensitive-islak-mendil-90-li-p-30201788
4,-,Washington Portakal kg,"29,90 TL",https://www.carrefoursa.com/washington-portakal-kg-p-30025606?has-promotion
5,-,Yerli Muz kg,"69,90 TL",https://www.carrefoursa.com/yerli-muz-kg-p-30086005?has-promotion
6,-,Carrefour Discount Su 5 Lt,"26,50 TL",https://www.carrefoursa.com/carrefour-discount-su-5-lt-p-30142177?has-promotion
7,-,"Carrefour Discount Su 1,5 Lt","9,00 TL",https://www.carrefoursa.com/carrefour-discount-su-1-5-lt-p-30142176?has-promotion
8,-,Avokado Adet,"49,90 TL",https://www.carrefoursa.com/avokado-adet-p-30009244?has-promotion
9,-,"Carrefour Discount Su 0,5 Lt","4,50 TL",https://www.carrefoursa.com/carrefour-discount-su-0-5-lt-p-30142293?has-promotion
10,-,Karnabahar kg,"29,95 TL",https://www.carrefoursa.com/karnabahar-kg-p-30017748?has-promotion
11,-,Carrefour Yarım Yağlı Süt 1 L,"32,50 TL",https://www.carrefoursa.com/carrefour-yarim-yagli-sut-1-l-p-30260146?has-promotion
12,-,Havuç kg,"49,95 TL",https://www.carrefoursa.com/havuc-kg-p-30088527?has-promotion
13,-,Sıkma Portakal kg,"24,90 TL",https://www.carrefoursa.com/sikma-portakal-kg-p-30092100?has-promotion
14,-,Çipura 400-600 g,"379,00 TL",https://www.carrefoursa.com/cipura-400-600-g-p-30171457?has-promotion
15,-,Maydanoz Adet,"29,90 TL",https://www.carrefoursa.com/maydanoz-adet-p-30015608?has-promotion
16,-,Carrefour Kaşar Peynir 700 Gr,"195,00 TL",https://www.carrefoursa.com/carrefour-kasar-peynir-700-gr-p-30283982?has-promotion
17,-,Dana Kıyma (%14-%20 Yağ) Kg,"699,90 TL",https://www.carrefoursa.com/dana-kiyma-14-20-yag-kg-p-30054577?has-promotion
18,-,Carrefour Yağlı Süt 1 L,"38,90 TL",https://www.carrefoursa.com/carrefour-yagli-sut-1-l-p-30261237?has-promotion
19,-,Normal Ekmek 200 g,"14,50 TL",https://www.carrefoursa.com/normal-ekmek-200-g-p-20000460?has-promotion
20,-,Salkım Domates kg,"99,90 TL",https://www.carrefoursa.com/salkim-domates-kg-p-30097558?has-promotion
21,-,Kereviz Yapraklı Kg,"39,95 TL",https://www.carrefoursa.com/kereviz-yaprakli-kg-p-30024433?has-promotion
22,-,Limon Lamas kg,"99,90 TL",https://www.carrefoursa.com/limon-lamas-kg-p-30088937?has-promotion
23,-,Blueberry-Yaban Mersini İthal 125 g,"79,90 TL",https://www.carrefoursa.com/blueberry-yaban-mersini-ithal-125-g-p-30082358?has-promotion
24,-,Roka Adet,"36,90 TL",https://www.carrefoursa.com/roka-adet-p-30016318?has-promotion
25,-,Carrefour Discount Su 1 Litre,"8,75 TL",https://www.carrefoursa.com/carrefour-discount-su-1-litre-p-30267238?has-promotion
26,-,Nar kg,"79,90 TL",https://www.carrefoursa.com/nar-kg-p-30054444?has-promotion
27,-,Sana Tereyağ Lezzeti Paket Margarin 250 G,"60,95 TL",https://www.carrefoursa.com/sana-tereyag-lezzeti-paket-margarin-250-g-p-30091863?has-promotion
28,-,Beyaz Lahana kg,"39,90 TL",https://www.carrefoursa.com/beyaz-lahana-kg-p-30085229?has-promotion
29,-,İçim Sade Uht Süt 1000 Ml,"49,95 TL",https://www.carrefoursa.com/icim-sade-uht-sut-1000-ml-p-30096708?has-promotion
30,-,Dereotu Adet,"36,90 TL",https://www.carrefoursa.com/dereotu-adet-p-30088521?has-promotion
31,-,Kanlı Greyfurt kg,"39,90 TL",https://www.carrefoursa.com/kanli-greyfurt-kg-p-30030138?has-promotion
32,-,Carrefour Pastorize Süt 1 L,"43,50 TL",https://www.carrefoursa.com/carrefour-pastorize-sut-1-l-p-30373694?has-promotion
33,-,Kurukahveci Mehmet Efendi Türk Kahvesi 100 Gr,"97,50 TL",https://www.carrefoursa.com/kurukahveci-mehmet-efendi-turk-kahvesi-100-gr-p-30000332?has-promotion
34,-,Carrefour Yumurta 15'li L Boy,"99,00 TL",https://www.carrefoursa.com/carrefour-yumurta-15-li-l-boy-p-30239968
35,-,Carrefour Ayçiçek Yağı Pet 5 Lt,"409,90 TL",https://www.carrefoursa.com/carrefour-aycicek-yagi-pet-5-lt-p-30078961
36,-,Kıvırcık Demet Adet,"54,90 TL",https://www.carrefoursa.com/kivircik-demet-adet-p-30013405
37,-,Domates Pazar kg,"89,90 TL",https://www.carrefoursa.com/domates-pazar-kg-p-30013008
38,-,Kırmızı Lahana kg,"49,90 TL",https://www.carrefoursa.com/kirmizi-lahana-kg-p-30084969
39,-,Banvit Bonfile Göğüs Kg,"242,00 TL",https://www.carrefoursa.com/banvit-bonfile-gogus-kg-p-30098645
40,-,Çilek kg,"199,00 TL",https://www.carrefoursa.com/cilek-kg-p-30043447
41,-,Dana Kuşbaşı Kg,"759,90 TL",https://www.carrefoursa.com/dana-kusbasi-kg-p-30069289
42,-,Taze Soğan Demet,"69,90 TL",https://www.carrefoursa.com/taze-sogan-demet-p-30014370
43,-,Kapya Biber kg,"99,90 TL",https://www.carrefoursa.com/kapya-biber-kg-p-30096974
44,-,Ülker Çikolata Sütlü Kare 60 G,"49,90 TL",https://www.carrefoursa.com/ulker-cikolata-sutlu-kare-60-g-p-30095762
45,-,Göbek Salata Adet,"59,90 TL",https://www.carrefoursa.com/gobek-salata-adet-p-30097557
46,-,Ülker Çubuk Kraker Sade 40 Gr,"6,25 TL",https://www.carrefoursa.com/ulker-cubuk-kraker-sade-40-gr-p-30095805
47,-,Söke Un 5 Kg,"149,95 TL",https://www.carrefoursa.com/soke-un-5-kg-p-30143705
48,-,Starking Elma kg,"109,90 TL",https://www.carrefoursa.com/starking-elma-kg-p-30032860
49,-,Pırasa kg,"69,95 TL",https://www.carrefoursa.com/pirasa-kg-p-30017458
50,-,Coca-Coca 1 L Pet,"54,00 TL",https://www.carrefoursa.com/coca-coca-1-l-pet-p-30098389
51,-,Salatalık kg,"99,90 TL",https://www.carrefoursa.com/salatalik-kg-p-30007782
52,-,Mantar 300 g,"59,90 TL",https://www.carrefoursa.com/mantar-300-g-p-30179267
53,-,Hayat Su 5 Lt,"40,80 TL",https://www.carrefoursa.com/hayat-su-5-lt-p-30091535
54,-,Kızılay Doğal Maden Suyu Erzincan/Afyon 6x200 ml,"47,50 TL",https://www.carrefoursa.com/kizilay-dogal-maden-suyu-erzincan-afyon-6x200-ml-p-30262194
55,-,Sivri Biber Kg,"64,90 TL",https://www.carrefoursa.com/sivri-biber-kg-p-30013546
56,-,Carrefour Hindi Füme 50 G,"22,50 TL",https://www.carrefoursa.com/carrefour-hindi-fume-50-g-p-30280213
57,-,Nutella Kakaolu Fındık Kreması 750 g,"272,50 TL",https://www.carrefoursa.com/nutella-kakaolu-findik-kremasi-750-g-p-30047778
58,-,Mor Soğan kg,"34,90 TL",https://www.carrefoursa.com/mor-sogan-kg-p-30092270
59,-,Sarıkız Doğal Maden Suyu 6 X 250 ml,"59,00 TL",https://www.carrefoursa.com/sarikiz-dogal-maden-suyu-6-x-250-ml-p-30386026
60,-,Lezita Tabaklı Fileto Kg,"165,90 TL",https://www.carrefoursa.com/lezita-tabakli-fileto-kg-p-30064164
61,-,Carrefour Gönen Baldo Pirinç 1 Kg,"81,50 TL",https://www.carrefoursa.com/carrefour-gonen-baldo-pirinc-1-kg-p-30165819
62,-,Carrefour Süt 200 Ml,"11,50 TL",https://www.carrefoursa.com/carrefour-sut-200-ml-p-30283981
63,-,Pancar kg,"64,95 TL",https://www.carrefoursa.com/pancar-kg-p-30007252
64,-,Uno Büyük Tost Ekmeği 550 g,"69,90 TL",https://www.carrefoursa.com/uno-buyuk-tost-ekmegi-550-g-p-30298076
65,-,Uno Premium Çok Tahıllı Ekmek 400 g,"80,00 TL",https://www.carrefoursa.com/uno-premium-cok-tahilli-ekmek-400-g-p-30481968
66,-,Uno Premium Çavdarlı Ekmek 400 g,"80,00 TL",https://www.carrefoursa.com/uno-premium-cavdarli-ekmek-400-g-p-30481969
67,-,Uno Süper Tost Çavdarlı 500 gr,"90,00 TL",https://www.carrefoursa.com/uno-super-tost-cavdarli-500-gr-p-30502137
