Rank,Ürün Adı,Fiyat,Link
1,Apple iPhone 13 128 GB Cep Telefonu Beyaz,"₺37.999,00",https://www.a101.com.tr/elektronik/apple-iphone-13-128-gb-cep-telefonu-beyaz_p-26020876
2,Apple iPhone 17 Pro Max 256 GB Cep Telefonu Kozmik Turuncu,"₺118.999,00",https://www.a101.com.tr/elektronik/apple-iphone-17-pro-max-256-gb-cep-telefonu-kozmik-turuncu_p-26066404
3,Apple iPhone 17 Pro Max 256 GB Cep Telefonu Gümüş,"₺118.999,00",https://www.a101.com.tr/elektronik/apple-iphone-17-pro-max-256-gb-cep-telefonu-gumus_p-26066404
4,Tantitoni 2 Bölmeli Yemek Taşıma Kabı 710 ml Pembe,"₺449,00",https://www.a101.com.tr/ev-yasam/tantitoni-2-bolmeli-yemek-tasima-kabi-710-ml-pembe_p-26040909
5,Xiaomi Redmi 14C 256 GB 8 GB RAM Cep Telefonu Mavi,"₺9.499,00",https://www.a101.com.tr/elektronik/xiaomi-redmi-14c-256-gb-8-gb-ram-cep-telefonu-mavi_p-26056349
6,Apple iPhone 13 128 GB Cep Telefonu Siyah,"₺37.999,00",https://www.a101.com.tr/elektronik/apple-iphone-13-128-gb-cep-telefonu-siyah_p-26020876
7,Xiaomi Redmi Note 14 Pro 512 GB 12 GB RAM Cep Telefonu Siyah,"₺18.999,00",https://www.a101.com.tr/elektronik/xiaomi-redmi-note-14-pro-512-gb-12-gb-ram-cep-telefonu-siyah_p-26057210
8,Apple iPhone 14 128 GB Cep Telefonu Beyaz,"₺44.999,00",https://www.a101.com.tr/elektronik/apple-iphone-14-128-gb-cep-telefonu-beyaz_p-26029309
9,Lav Tokyo Saklama Kabı 2600 cc Su Yeşili,"₺159,00",https://www.a101.com.tr/ev-yasam/lav-tokyo-saklama-kabi-2600-cc-su-yesili_p-26030754
10,"Sürgülü Erzak Kabı 7,5 L Beyaz","₺109,00",https://www.a101.com.tr/ev-yasam/surgulu-erzak-kabi-7-5-l-beyaz_p-26040251
11,Taç Bella Döküm Derin Tencere 24 cm 4 L Siyah,"₺699,00",https://www.a101.com.tr/ev-yasam/tac-bella-dokum-derin-tencere-24-cm-4-l-siyah_p-26037359
12,Realme C65 128 GB 8 GB RAM Dual Cep Telefonu Siyah,"₺7.499,00",https://www.a101.com.tr/elektronik/realme-c65-128-gb-8-gb-ram-dual-cep-telefonu-siyah_p-26065441
13,Realme Note 60 128 GB 4 GB RAM Cep Telefonu Mavi,"₺6.699,00",https://www.a101.com.tr/elektronik/realme-note-60-128-gb-4-gb-ram-cep-telefonu-mavi_p-26056773
14,Tecno Spark 10 Pro 256 GB 8 GB RAM Cep Telefonu Beyaz,"₺8.499,00",https://www.a101.com.tr/elektronik/tecno-spark-10-pro-256-gb-8-gb-ram-cep-telefonu-beyaz_p-26038106
15,Samsung Galaxy A16 128 GB 4 GB Ram Cep Telefonu Gri,"₺9.399,00",https://www.a101.com.tr/elektronik/samsung-galaxy-a16-128-gb-4-gb-ram-cep-telefonu-gri_p-26061179
16,Xiaomi Redmi Note 14 256 GB 8 GB RAM Cep Telefonu Siyah,"₺11.499,00",https://www.a101.com.tr/elektronik/xiaomi-redmi-note-14-256-gb-8-gb-ram-cep-telefonu-siyah_p-26057057
17,Vivaldi Seramik Basık Tencere 26 cm Krem,"₺599,00",https://www.a101.com.tr/ev-yasam/vivaldi-seramik-basik-tencere-26-cm-krem_p-26061834
18,Realme Note 60 128 GB 4 GB RAM Cep Telefonu Siyah,"₺6.699,00",https://www.a101.com.tr/elektronik/realme-note-60-128-gb-4-gb-ram-cep-telefonu-siyah_p-26056773
19,Samsung Galaxy A56 256 GB 8 GB RAM 5G Cep Telefonu Graphite,"₺22.999,00",https://www.a101.com.tr/elektronik/samsung-galaxy-a56-256-gb-8-gb-ram-5g-cep-telefonu-graphite_p-26059475
