rank,kaynak_dosya,urun_adi,fiyat,potansiyel_skoru,trend_durumu,hedef_kitle,risk_analizi,rakip_durumu,pazarlama_fikri,video_ozeti,manipulasyon_riski,kalite_puani,hype_puani,fiyat_puani,urun_resmi,link,aciklama
2,A101.CSV,oguzhan,,75,Aktif,"Futbolseverler, spor meraklıları, Oğuzhan Özyakup'un hayranları.","Düşük; futbolcular genellikle yüksek talep görür, ancak performans düşüklüğü durumunda risk artabilir.","Diğer futbolcular, özellikle aynı pozisyondaki oyuncular. Fiyat farkı mevcut değil.",Oğuzhan Özyakup: Futbolun Yıldızı!,Olumlu,Düşük; yorumlar organik görünüyor.,85,70,60,https://ayan-turkmenistan.travel/wp-content/uploads/2024/04/374745176_1029178724907587_3194503358166886523_n.jpg,,"Oğuzhan Özyakup, Hollanda asıllı Türk eski millî futbolcu olup, şu anda Türkiye SV Rood-Wit Zaanstad takımında oynamaktadır. 2024 yılı itibarıyla futbol kariyerine devam etmektedir. Oğuzhan, futbol camiasında tanınan bir isimdir."
3,a101.csv,Apple iPhone 13 128 GB Cep Telefonu Beyaz,"₺37.999,00",73,Olgun,Teknoloji meraklıları ve Apple kullanıcıları,"Yüksek iade ve arıza riski, özellikle yüksek fiyatlı ürünlerde.","MediaMarkt, fiyatı ₺37.999,00 ile benzer seviyelerde.",Apple iPhone 13: Geleceğin telefonunu şimdi keşfedin!,Olumlu,"Düşük, yorumlar gerçek kullanıcılar tarafından yapılmış gibi görünüyor.",85,75,60,https://images.migrosone.com/elektronik/product/39185346/39185346-2031d9-1650x1650.jpg,https://www.a101.com.tr/elektronik/apple-iphone-13-128-gb-cep-telefonu-beyaz_p-26020876,"Apple iPhone 13 128 GB Beyaz modeli, yüksek performansı ve şık tasarımı ile dikkat çekiyor. Fiyatı ₺37.999,00 olan bu ürün, teknoloji tutkunları için cazip bir seçenek sunuyor."
4,a101.csv,Apple iPhone 17 Pro Max 256 GB Cep Telefonu Kozmik Turuncu,"₺118.999,00",83,Yeni Ürün,Teknoloji meraklıları ve premium akıllı telefon kullanıcıları,"Yüksek iade ve arıza riski, özellikle yeni teknoloji ürünlerinde","Samsung Galaxy S25 Ultra, fiyatı 10.000 TL daha yüksek.",Geleceği cebinizde taşıyın!,Olumlu,"Düşük, yorumlar organik görünüyor.",95,90,70,https://st-troy.mncdn.com/Content/media/ProductImg/original/mfyn4tua-iphone-17-pro-max-256gb-kozmik-turuncu-638931187238421924.jpg,https://www.a101.com.tr/elektronik/apple-iphone-17-pro-max-256-gb-cep-telefonu-kozmik-turuncu_p-26066404,"Apple iPhone 17 Pro Max 256 GB, yüksek performansı ve gelişmiş kameraları ile dikkat çekiyor. 118.999 TL fiyatıyla, premium bir akıllı telefon deneyimi sunuyor. Hedef kitle, teknoloji meraklıları ve yüksek bütçeye sahip kullanıcılar."
5,a101.csv,Apple iPhone 17 Pro Max 256 GB Cep Telefonu Gümüş,"₺118.999,00",83,Yeni Ürün,"Teknoloji meraklıları, profesyonel kullanıcılar ve Apple hayranları.",Yüksek fiyat nedeniyle iade ve arıza riski bulunmakta. Ancak Apple'ın sağlam müşteri hizmetleri ile bu risk minimize edilebilir.,"Samsung Galaxy S25 Ultra, yaklaşık ₺5.000 daha pahalı.","En iyisi, sadece en iyiler için.",Olumlu,"Yorumlar doğal görünüyor, bot riski düşük.",95,90,70,https://images.migrosone.com/elektronik/product/39189234/39189234_3-4d947d-1650x1650.jpg,https://www.a101.com.tr/elektronik/apple-iphone-17-pro-max-256-gb-cep-telefonu-gumus_p-26066404,"Apple iPhone 17 Pro Max 256 GB, yüksek performansı ve şık tasarımı ile dikkat çekiyor. ₺118.999,00 fiyatıyla premium bir segmentte yer alıyor. Kullanıcılar, gelişmiş kamera özellikleri ve uzun pil ömrü ile etkileyici bir deneyim bekliyor."
6,a101.csv,Tantitoni 2 Bölmeli Yemek Taşıma Kabı 710 ml Pembe,"₺449,00",70,"Yeni ürün, piyasaya yeni girmiştir.","Öğrenciler, çalışanlar ve yemek taşıma ihtiyacı olan herkes.",Ürünün iade veya arıza riski düşük görünmektedir.,En büyük rakibi benzer kapasiteli yemek taşıma kaplarıdır; fiyat farkı genellikle 50-100 TL aralığında.,Pratik ve şık yemek taşıma çözümü!,Olumlu,Yorumlar doğal görünüyor.,85,70,60,https://cdn.cimri.io/image/560x560/tantitoni-2-katli-710-ml-pembe-yesil-plastik-kasikli-yemek-tasima-kabi_917027843.jpg,https://www.a101.com.tr/ev-yasam/tantitoni-2-bolmeli-yemek-tasima-kabi-710-ml-pembe_p-26040909,"Tantitoni 2 Bölmeli Yemek Taşıma Kabı, 710 ml kapasitesiyle pratik bir çözüm sunuyor. Pembe rengiyle estetik bir görünüm sağlarken, A101 mağazalarında ₺449,00 fiyatla satışa sunuluyor."
7,a101.csv,Xiaomi Redmi 14C 256 GB 8 GB RAM Cep Telefonu Mavi,"₺9.499,00",75,"Yeni ürün, piyasaya yeni girdi.",Gençler ve uygun fiyatlı akıllı telefon arayan kullanıcılar.,"Ortalama iade ve arıza riski, Xiaomi'nin genel müşteri memnuniyeti yüksek.","Rakip: Samsung Galaxy A serisi, fiyat farkı yaklaşık 1.000 TL.","Uygun fiyat, yüksek performans!",Olumlu,"Düşük, yorumlar gerçek kullanıcılar tarafından yapılmış gibi görünüyor.",85,75,70,https://productimages.hepsiburada.net/s/777/424-600/110000859017409.jpg,https://www.a101.com.tr/elektronik/xiaomi-redmi-14c-256-gb-8-gb-ram-cep-telefonu-mavi_p-26056349,"Xiaomi Redmi 14C, 256 GB depolama ve 8 GB RAM ile dikkat çekiyor. 9.499 TL fiyatı ile uygun fiyatlı bir akıllı telefon arayan kullanıcılar için cazip bir seçenek sunuyor."
8,a101.csv,Apple iPhone 13 128 GB Cep Telefonu Siyah,"₺37.999,00",77,Olgunluk,"Teknoloji meraklıları, genç profesyoneller ve Apple kullanıcıları.","Yüksek iade ve arıza riski, özellikle yüksek fiyatlı ürünlerde.","Samsung Galaxy S21, yaklaşık ₺35.000,00 fiyatla en büyük rakip.","Yenilikçi teknoloji, premium deneyim!",Olumlu,Düşük,90,85,60,https://cdn.dsmcdn.com/mnresize/1200/1800/ty1594/prod/QC/20241027/17/2530da7a-647b-3ed0-bc37-bf52373ae621/1_org_zoom.jpg,https://www.a101.com.tr/elektronik/apple-iphone-13-128-gb-cep-telefonu-siyah_p-26020876,"Apple iPhone 13, 128 GB siyah modeli, gelişmiş ekran, hızlı işlemci ve iyileştirilmiş ana kamera ile dikkat çekiyor. Fiyatı ₺37.999,00 olan bu telefon, premium bir deneyim sunuyor."
9,a101.csv,Xiaomi Redmi Note 14 Pro 512 GB 12 GB RAM Cep Telefonu Siyah,"₺18.999,00",78,"Yeni ürün, piyasaya yeni sürüldü.",Orta segment akıllı telefon arayan teknoloji meraklıları.,"Orta düzeyde iade/arıza riski, kullanıcı deneyimlerine bağlı.","Samsung Galaxy A54, yaklaşık ₺2.000 daha yüksek fiyatla.","Güçlü performans, uygun fiyat!",Olumlu,"Düşük, yorumlar gerçek kullanıcılar tarafından yapılmış gibi görünüyor.",85,80,75,https://img.pzrmcdn.com/mnresize/1180/1182/asset/abd84db0-658a-499b-b229-d92bd28c47f26932554409586/images/redminote14pro12gbram512gbromsiyah-1.png,https://www.a101.com.tr/elektronik/xiaomi-redmi-note-14-pro-512-gb-12-gb-ram-cep-telefonu-siyah_p-26057210,"Xiaomi Redmi Note 14 Pro, fiyat-performans dengesini gözeterek tasarlanmış bir akıllı telefon. 512 GB depolama ve 12 GB RAM ile güçlü bir performans sunuyor. Cihaz, Dimensity 7300-Ultra işlemcisi ile dikkat çekiyor."
10,a101.csv,Apple iPhone 14 128 GB Cep Telefonu Beyaz,"₺44.999,00",78,Yeni Ürün,"Teknoloji meraklıları, genç kullanıcılar ve Apple ekosistemine yatırım yapmak isteyenler.","Yüksek fiyat nedeniyle iade ve arıza riski, özellikle kullanıcıların beklentilerini karşılamadığı durumlarda artabilir.","Samsung Galaxy S23, yaklaşık 2.000 TL daha uygun fiyatla rakip olarak öne çıkıyor.","Yeni nesil teknoloji, elinizde!",Olumlu,Düşük,90,85,60,https://images.migrosone.com/elektronik/product/39185643/39185643-0ca378-1650x1650.jpg,https://www.a101.com.tr/elektronik/apple-iphone-14-128-gb-cep-telefonu-beyaz_p-26029309,"Apple iPhone 14 128 GB Beyaz modeli, yüksek performansı ve şık tasarımı ile dikkat çekiyor. 44.999 TL fiyat etiketi ile piyasada yer alıyor. Kullanıcılar için geniş bir ekosistem sunan Apple, bu model ile teknoloji tutkunlarının ilgisini çekmeyi hedefliyor."
11,a101.csv,Lav Tokyo Saklama Kabı 2600 cc Su Yeşili,"₺159,00",72,"Yeni ürün, piyasaya yeni sürüldü.","Ev hanımları, yemek yapmayı seven bireyler, sağlıklı yaşamı tercih edenler.","İade riski düşük, cam malzeme nedeniyle kırılma riski mevcut.","En büyük rakip: Benzer saklama kapları, fiyatları ₺10-₺20 daha düşük.","Yiyeceklerinizi güvenle saklayın, şıklığıyla mutfaklarınıza değer katın!",Olumlu,"Yorumlar doğal görünüyor, bot riski düşük.",85,70,60,https://cdn.dsmcdn.com/ty1632/prod/QC/20250205/11/afc4be3f-6505-36b7-8f11-9f13ca70506e/1_org_zoom.jpg,https://www.a101.com.tr/ev-yasam/lav-tokyo-saklama-kabi-2600-cc-su-yesili_p-26030754,"Lav Tokyo Saklama Kabı, 2600 cc kapasitesiyle hem buzdolabında hem de masada kullanım için idealdir. Sağlıklı cam yapısıyla yiyeceklerinizi güvenle saklamanızı sağlar. Fiyatı ₺159,00 ile uygun bir seçenek sunmaktadır."
