Rank,Trend Başlık,Arama Hacmi
1,regaip kandili,50 B+
2,samsunspor - eyüpspor,20 B+
3,libya,50 B+
4,11. yargı paketi,10 B+
5,ezgi fındık,10 B+
6,haji wright,10 B+
7,cerny,500 B+
8,ajet,10 B+
9,timur savcı,5 B+
10,libya genelkurmay başkanı,50 B+
11,fenerbahçe sadettin saran,20 B+
12,keçiörengücü - beyoğlu yeni çarşı,5 B+
13,النصر ضد الزوراء,2 B+
14,xiaomi 17 ultra,2 B+
15,boluspor - fethiyespor,5 B+
16,noel ne zaman,2 B+
17,mahmut uğur ziylan,10 B+
18,mekke de trafik kazası,5 B+
19,merry christmas,2 B+
20,goretzka,2 B+
21,doğu ekspresi bilet,1 B+
22,endrick,2 B+
23,50 euro,1 B+
24,al nassr,1 B+
25,mustafa köseoğlu,1 B+
26,rüya gibi son bölüm izle,5 B+
27,arsenal - crystal palace,20 B+
28,the callisto protocol,1 B+
29,cristiano ronaldo,500+
30,luis henrique,1 B+
31,beyazıt öztürk,500+
32,ebru gündeş konser,2 B+
33,alexander sörloth fenerbahçe,500+
34,cezayir milli takımı,1 B+
35,afc kupası,200+
36,الجزائر ضد السودان,500+
37,christmas,2 B+
38,şivlilik,500+
39,iğdır fk - aliağa,5 B+
40,cezayir,500+
41,rafinha,200+
42,sadettin saran hülya avşar,100+
43,clippers - rockets,5 B+
44,victor osimhen,10 B+
45,saadettin saran kaç yaşında,500+
46,konya deprem,10 B+
47,mehmet tosmur,2 B+
48,masterchef altın önlüğü kim kazandı,2 B+
49,pasaport ücreti,5 B+
50,hull city,2 B+
51,lyon-villeurbanne - anadolu efes,5 B+
52,burkina faso,500+
53,2026 asgari ücretin,2 B+
54,pavel durov,1 B+
55,آرسنال ضد كريستال بالاس,2 B+
56,sömestr tatili,500+
57,sasa hisse,1 B+
58,ziraat türkiye kupası gruplar,5 B+
59,deniz undav,200+
60,szymanski,2 B+
61,istanbul akşam ezanı,1 B+
62,bim hisse,1 B+
63,musaba transfer,2 B+
64,esra yoldaş balcı,1 B+
65,show yayın akışı,500+
66,ivan cedric,500+
67,melissa fidan çalışkan,500+
68,lig kupası,2 B+
69,sergen yalçın,5 B+
70,iski su kesintisi,2 B+
71,hakan fidan,1 B+
72,yağmur uçkun,500+
73,emekli maaş zammı 2026 ocak,1 B+
74,tomarza,200+
75,flight radar,2 B+
76,salih özcan,100+
77,şenol güneş,200+
78,31 aralık yarım gün mü,1 B+
79,erdi çetin,500+
80,ayşe şeyma keten,1 B+
81,fb beko,10 B+
82,saat,2 B+
83,václav černý,2 B+
84,asensio,5 B+
85,kyk kaç tl olacak 2026,500+
86,algérie – soudan,100+
87,ittihad fc - nasaf,1 B+
88,žalgiris - panathinaikos,2 B+
89,algeria vs sudan,100+
90,semavi siverek,500+
91,kerem aktürkoğlu,2 B+
92,bağdat caddesi yangın,200+
93,sporting cp,1 B+
94,süper kupa,1 B+
95,sporting,1 B+
96,spurs - thunder,500+
97,ibrahim tatlıses,1 B+
98,haydar karataş,2 B+
99,mavericks - nuggets,500+
100,ümit özdağ,100+
101,cnn,1 B+
102,muhasebetr,500+
103,devrim şahin,1 B+
104,antalya hava durumu,2 B+
105,yanlış anlama oyuncuları,1 B+
106,ramazan bayramı,1 B+
107,avengers doomsday,200+
108,turkish cup,1 B+
109,feyza civelek,100+
110,trt spor yıldız,1 B+
111,championship,200+
112,bbc,500+
113,suns - lakers,500+
114,kenan imirzalıoğlu,1 B+
115,spor,2 B+
116,beşiktaş basketbol,2 B+
117,تونس ضد أوغندا,500+
118,jet,500+
119,anadolujet,200+
120,tylor chase,200+
121,nicki minaj,200+
122,db,1 B+
123,الاتحاد ضد نسف قرشي,500+
124,dilan polat,100+
125,at,1 B+
126,rashica,500+
127,kayseri hava durumu,1 B+
128,show tv canlı yayın,5 B+
129,libya tezkeresi,500+
130,müge anlı canlı izle,1 B+
131,caldas sc - braga,500+
132,trt spor yıldız canlı,500+
133,yiğit efe demir,1 B+
134,skriniar,500+
135,kings - pistons,200+
136,enflasyon muhasebesi,200+
137,ismail yk,200+
138,airporthaber,500+
139,doha,500+
140,mbwana samatta,500+
141,lig puan durumu,1 B+
142,kuruluş orhan,500+
143,chobani,500+
144,exxen,500+
145,al ittihad,200+
146,hafsanur sancaktutan,500+
147,mehmet fetihler sultanı yeni bölüm var mı,1 B+
148,akor adams,200+
149,arsavev,200+
150,oosterwolde,500+
151,meloni,100+
152,rafa silva,500+
153,mert günok,500+
154,bayern - hapoel tel aviv,500+
155,afra saraçoğlu,500+
156,futbol puan durumu,200+
157,24 aralık hangi burç,100+
158,tammy abraham,500+
159,vince mcmahon,200+
160,az önce deprem nerede oldu son dakika,200+
161,aspor canlı izle,200+
162,mehmet mustafa gürban,200+
163,borsa istanbul,100+
164,sivas hava durumu,200+
165,epic games 23 aralık ücretsiz oyunu,100+
166,redmond,200+
167,djalo,200+
168,nevşehir hava durumu,200+
169,kartal kayra yılmaz,200+
170,ankara su kesintisi,200+
171,takım sıralaması,200+
172,origi,100+
173,demir ege tıknaz,200+
174,konya imsak,100+
175,bloomberg ht,200+
176,haydar fenerbahçe,200+
177,anlık altın,100+
178,mc alger,100+
179,gökhan sazdağı,200+
180,stranger things,100+
181,survivor 2026 ünlüler kadrosu,100+
182,epic games ücretsiz oyunu,100+
183,ademola lookman,200+
184,semenyo,100+
185,malta,100+
186,bedaş,100+
187,gazete manşetleri,100+
188,huawei,100+
189,vs,100+
