Rank,Trend,Tag
1,#EbuUbeyde,0
2,#KHKsızYeniYıl,0
3,#GalatasarayTekSizHepiniz,0
4,Erden Timur,0
5,#DenklikMeclisteİktidarSessiz,0
6,Terör,0
7,Fatih Altaylı,0
8,Devletimizin Yanındayız,0
9,IŞİD,0
10,#zorgünler,0
11,Kassam Tugayları,0
12,Aklama,0
13,Emre Can,0
14,Tutuklama,0
15,Anthony Joshua,0
16,Putin,0
17,Tefrik,0
18,Yalı,0
19,Dosya,0
20,Cinayet,0
21,Haluk,0
22,İyiler,0
23,TÜRKİYE'DİR GALATASARAY,0
24,Sarp Akkaya,0
25,Veyis Ateş,0
26,Taner Çağlı,0
27,Eray,0
28,Ermenistan,0
29,Mekanları,0
30,Turgut Külünk,0
31,DAEŞ,0
32,Emniyet Teşkilatımıza,0
33,Serap,0
34,Burhan,0
35,Yargılanacaksınız,0
36,Başımız,0
37,Derviş,0
38,Mustafa Karataş,0
39,İlker Pehlivan,0
40,Yasin Koçyiğit,0
41,ABD Başkanı Donald Trump,0
42,Savcılık,0
43,İnna,0
44,Milletimizin Başı Sağ Olsun,0
45,Öküz,0
46,Yolunuz,0
47,30 Aralık Salı,0
48,Nezih Barut,0
49,Çarşamba,0
50,Ruhları,0
51,#EbuUbeyde,1
52,Erden Timur,1
53,Fatih Altaylı,1
54,#DenklikMeclisteİktidarSessiz,1
55,#KHKsızYeniYıl,1
56,Terör,1
57,#Yalova,1
58,#zorgünler,1
59,Aklama,1
60,Kassam Tugayları,1
61,Tutuklama,1
62,Taner Çağlı,1
63,Putin,1
64,Veyis Ateş,1
65,Tutuklandı,1
66,Dosya,1
67,Yalı,1
68,Ermenistan,1
69,Mekanları,1
70,Anthony Joshua,1
71,İyiler,1
72,Turgut Külünk,1
73,Savcılık,1
74,Jungkook,1
75,DAEŞ,1
76,Serap,1
77,Emniyet Teşkilatımıza,1
78,Yasin Koçyiğit,1
79,Başımız,1
80,Aziz,1
81,Mustafa Karataş,1
82,İlker Pehlivan,1
83,Yargılanacaksınız,1
84,Sarp Akkaya,1
85,Ruhları,1
86,Nevzat Bahtiyar,1
87,Derviş,1
88,Yolunuz,1
89,Inna,1
90,Öküz,1
91,Selefi,1
92,Vatan Sağolsun,1
93,30 Aralık Salı,1
94,İstihbarat,1
95,Nezih Barut,1
96,Çarşamba,1
97,TOKİ,1
98,Türk Vatandaşı,1
99,Şalvar,1
100,BAŞIMIZ SAĞ OLSUN,1
101,#EbuUbeyde,1
102,Fatih Altaylı,1
103,#DenklikMeclisteİktidarSessiz,1
104,Erden Timur,1
105,#Yalova,1
106,#zorgünler,1
107,Aklama,1
108,Terör,1
109,Kassam Tugayları,1
110,#HappyBirthdayTaehyung,1
111,Taner Çağlı,1
112,Tutuklama,1
113,Veyis Ateş,1
114,Putin,1
115,Ermenistan,1
116,Tutuklandı,1
117,Mekanları,1
118,Turgut Külünk,1
119,Emniyet Teşkilatımıza,1
120,Anthony Joshua,1
121,İlker Pehlivan,1
122,Milletimizin Başı Sağ Olsun,1
123,İyiler,1
124,Sarp Akkaya,1
125,Yalı,1
126,Jungkook,1
127,Narin Güran,1
128,Serap,1
129,DAEŞ,1
130,Savcılık,1
131,Başımız,1
132,Mustafa Karataş,1
133,Inna,1
134,Yargılanacaksınız,1
135,Nevzat Bahtiyar,1
136,Vatan Sağolsun,1
137,Öküz,1
138,Yolunuz,1
139,Selefi,1
140,Ruhları,1
141,İstihbarat,1
142,Derviş,1
143,Kafir,1
144,Allahu Ekber,1
145,Türk Vatandaşı,1
146,Şalvar,1
147,TOKİ,1
148,Çatışmada 7,1
149,30 Aralık Salı,1
150,Ayşe Tokyaz,1
151,Fatih Altaylı,1
152,#EbuUbeyde,1
153,#Yalova,1
154,#zorgünler,1
155,Kassam Tugayları,1
156,#HappyBirthdayTaehyung,1
157,#HAPPYVDAY,1
158,Aklama,1
159,Erden Timur,1
160,Taner Çağlı,1
161,Terörizmin Finansmanı,1
162,Veyis Ateş,1
163,Ermenistan,1
164,Emniyet Teşkilatımıza,1
165,Turgut Külünk,1
166,Tutuklama,1
167,İlker Pehlivan,1
168,Anthony Joshua,1
169,Sarp Akkaya,1
170,Milletimizin Başı Sağ Olsun,1
171,Mekanları,1
172,Başımız,1
173,Putin,1
174,Narin Güran,1
175,Nevzat Bahtiyar,1
176,DAEŞ,1
177,Serap,1
178,Mustafa Karataş,1
179,Kafir,1
180,Öküz,1
181,Ruhları,1
182,Vatan Sağolsun,1
183,Selefi,1
184,İnna,1
185,CSKA Moskova,1
186,Türkiyem,1
187,Yargılanacaksınız,1
188,Derviş,1
189,Yüce Türk,1
190,Yolunuz,1
191,Şalvar,1
192,Esra Tokyaz,1
193,Türk Vatandaşı,1
194,Çatışmada 7,1
195,Ümit Özdağ,1
196,30 Aralık Salı,1
197,Ali Yerlikaya,1
198,Ayşe Tokyaz,1
199,Allah Rahmet,1
200,Savcılık,1
201,Fatih Altaylı,2
202,#Yalova,2
203,Ebu Ubeyde,2
204,Kassam Tugayları,2
205,#HAPPYVDAY,2
206,#HappyBirthdayTaehyung,2
207,#işingerçeği,2
208,Ermenistan,2
209,Taner Çağlı,2
210,#ŞehidinVarTürkiye,2
211,Turgut Külünk,2
212,İlker Pehlivan,2
213,Emniyet Teşkilatımıza,2
214,Milletimizin Başı Sağ Olsun,2
215,Veyis Ateş,2
216,Mekanları,2
217,Başımız,2
218,Narin Güran,2
219,Sarp Akkaya,2
220,Nevzat Bahtiyar,2
221,Anthony Joshua,2
222,Teröristler Türk,2
223,Kafir,2
224,Mustafa Karataş,2
225,Selefi,2
226,Ruhları,2
227,Türkiyem,2
228,Öküz,2
229,Serap,2
230,Yargılanacaksınız,2
231,CSKA Moskova,2
232,Derviş,2
233,Geberin,2
234,Çatışmada 7,2
235,İnna,2
236,Yüce Türk,2
237,30 Aralık Salı,2
238,Ayşe Tokyaz,2
239,Türk Vatandaşı,2
240,Esra Tokyaz,2
241,Ali Naci Küçük,2
242,Ümit Özdağ,2
243,Ali Yerlikaya,2
244,Tevhid,2
245,Sercan Hamzaoğlu,2
246,Vatandaşlık,2
247,Şalvar,2
248,Çarşamba,2
249,Saldırıda 8,2
250,Allah Rahmet Eylesin,2
251,Fatih Altaylı,3
252,#Yalova,3
253,Ebu Ubeyde,3
